names,scores,logfoldchanges,pvals,pvals_adj,cluster
YWHAH,58.201565,2.139317,0.0,0.0,3
PLAUR,57.410095,2.8346915,0.0,0.0,3
FCGR3A,57.384624,3.1985054,0.0,0.0,3
ATP6V0B,57.259666,1.6877353,0.0,0.0,3
GAPDH,57.25768,1.1145724,0.0,0.0,3
CTSH,57.05344,1.9301276,0.0,0.0,3
MRC1,56.98667,3.9824698,0.0,0.0,3
CFL1,56.943546,0.93048537,0.0,0.0,3
MS4A7,56.869946,3.289216,0.0,0.0,3
S100A4,56.75111,1.6149299,0.0,0.0,3
LGALS3,55.459976,1.7367573,0.0,0.0,3
PYCARD,55.439262,2.3720074,0.0,0.0,3
FGL2,55.416195,2.8276222,0.0,0.0,3
TXN,55.30435,1.6502502,0.0,0.0,3
SAMHD1,55.23146,2.2101865,0.0,0.0,3
FCGRT,54.756927,2.1711092,0.0,0.0,3
APOC1,54.39544,3.0930684,0.0,0.0,3
FBP1,54.374462,3.8524895,0.0,0.0,3
ARPC5,54.134552,1.4959944,0.0,0.0,3
GADD45B,54.05853,1.7918884,0.0,0.0,3
CLEC7A,53.76221,3.1384342,0.0,0.0,3
LAP3,53.634342,2.458719,0.0,0.0,3
YBX1,53.563133,1.0146405,0.0,0.0,3
MARCKS,52.785225,2.3164408,0.0,0.0,3
B2M,116.239815,1.2952418,0.0,0.0,4
CCL5,115.4179,4.657009,0.0,0.0,4
CXCR4,112.99731,3.451203,0.0,0.0,4
SRGN,107.16827,3.079393,0.0,0.0,4
CCL4,103.476616,4.2504234,0.0,0.0,4
TMSB4X,100.26063,1.496304,0.0,0.0,4
RPS29,98.28135,2.0116904,0.0,0.0,4
HLA-A,95.52415,1.7025597,0.0,0.0,4
BTG1,94.94965,2.3479383,0.0,0.0,4
RPS26,94.33473,1.8910983,0.0,0.0,4
RPL27A,90.88916,2.1659102,0.0,0.0,4
RPL13A,89.12535,2.6878285,0.0,0.0,4
RPLP2,88.22311,1.7316158,0.0,0.0,4
ZFP36,88.0945,2.4028525,0.0,0.0,4
IL32,88.04742,2.8621147,0.0,0.0,4
H3F3B,87.3135,1.2674003,0.0,0.0,4
TSC22D3,86.17473,2.2513309,0.0,0.0,4
RPL31,85.760895,2.5501993,0.0,0.0,4
RPL23A,85.302795,1.467161,0.0,0.0,4
RPS27,84.938446,1.3149371,0.0,0.0,4
