"gene","mean_elderly","mean_young","log2FC","pvalue","padj"
"XIST",2.30886452004825,3.15866609413804,-0.849801574089794,0.000191190983502833,0.0391344044357362
"INHBB",6.23801584709717,6.8683444719836,-0.630328624886424,0.000206834485476404,0.0418137617243965
"AP002800.1",1.22568867835931,1.42937472614285,-0.203686047783536,0.000221759806696988,0.0440517619657882
"LINC02195",1.92171201567255,2.35579375354843,-0.434081737875887,0.000223641974609301,0.0440517619657882
"AC114810.1",1.14590485201276,1.33424467028461,-0.188339818271859,0.00022597545069473,0.0440517619657882
"GPI",5.93673286063781,5.76484543165481,0.171887428982997,0.000230944556567408,0.0442896331561424
"CCNI2",0.938172441349241,1.10371861493145,-0.165546173582208,0.000232605096270427,0.0442896331561424
"MT-RNR2",14.0022503925465,13.6444045943897,0.357845798156827,0.000256260605983282,0.0476851537783369
"GNPNAT1",2.46901624416296,2.75090168514477,-0.281885440981813,0.000258126894896476,0.0476851537783369
"XAF1",1.36567991524274,1.6416764712847,-0.275996556041961,0.000259174270917373,0.0476851537783369
"AC007906.2",1.05714855757846,1.2251310043668,-0.167982446788338,0.000269193135076994,0.0480933901456732
"GPC1",4.60132302737599,4.36362156592212,0.237701461453868,0.0002698003021819,0.0480933901456732
"APOL1",5.7080957444118,6.14250625497244,-0.434410510560631,0.000271138200336386,0.0480933901456732
"MT-ND2",13.6028306958746,13.2590701862479,0.343760509626733,0.000273141086018174,0.0480933901456732
"FAM111A-DT",3.63191174800842,3.98861577445399,-0.356704026445571,0.000278850622088454,0.0483439206003702
"APOL2",4.9886557792655,5.26286810713105,-0.274212327865549,0.000280468546994514,0.0483439206003702
"TRGC2",1.34221268412052,1.72530362176414,-0.383090937643622,0.000295616646826531,0.0496903905121655
"DLGAP1-AS1",3.99860225312349,4.22114760880199,-0.222545355678496,0.000296507422442118,0.0496903905121655
"AHR",4.83335337884399,5.21375520845864,-0.38040182961465,0.000297383711156777,0.0496903905121655
"APOE",8.12412992303058,8.95844273230525,-0.834312809274669,0.000302049600107635,0.0499602242602276
"DUSP6",7.77015655506712,8.29126821403222,-0.521111658965096,0.000307841942356581,0.0504091180608901
"CCL5",4.46566116972438,5.06484976101822,-0.599188591293847,0.000317980006807974,0.0515536892225799
"AC099811.3",0.893619461391748,1.07665536870945,-0.183035907317706,0.000321892572218635,0.0516763810792171
"EDA2R",3.67278092809463,3.96420015964152,-0.291419231546889,0.000332881994516685,0.0517678181415116
"MIR100HG",3.16653459777022,3.50829184257466,-0.341757244804434,0.000333103306430803,0.0517678181415116
"ALOX15P1",0.921203107713891,1.12711500997605,-0.205911902262157,0.000333891389034817,0.0517678181415116
"AMIGO2",4.18074160342134,4.67627063883965,-0.495529035418308,0.000335107708274823,0.0517678181415116
"ARNTL",4.37233803135325,4.88741070632021,-0.515072674966953,0.00034346780791804,0.0524088695240984
"YPEL1",1.74210590796219,1.94372693636958,-0.201621028407386,0.000345658498235275,0.0524088695240984
"AP1S3",3.3679157314304,3.6147874690354,-0.246871737604997,0.000373689786066037,0.0557725906476737
"IFI6",8.81016264383945,9.24283570484381,-0.43267306100436,0.000378582359601666,0.0557725906476737
"TRIM5",3.90046181817498,4.10521896012649,-0.204757141951513,0.000379099122493332,0.0557725906476737
"PSME1",8.28735990009687,8.47420431780972,-0.186844417712848,0.000388031938851578,0.0557725906476737
"RARA-AS1",2.59364075152326,2.87571964060349,-0.282078889080236,0.000390420971518894,0.0557725906476737
"NAV2",4.65938197191512,5.01810684783209,-0.358724875916971,0.000391620600991602,0.0557725906476737
"TOP1P1",1.03030059188931,1.17444462549992,-0.144144033610608,0.000391685369434045,0.0557725906476737
"SP140L",2.28963209079166,2.51939664727926,-0.229764556487593,0.000400633035328393,0.0562147537848109
"APLP2",10.1375130324265,10.4509389520185,-0.313425919591996,0.000407661747917435,0.0562147537848109
"GBP2",4.56795290700939,5.05978482938836,-0.491831922378971,0.000409119700802773,0.0562147537848109
"CYSLTR2",3.42851644363554,4.13460187921123,-0.706085435575697,0.000411001153408376,0.0562147537848109
"PCED1B",3.23005018501131,3.59584598303404,-0.365795798022734,0.000411955447583347,0.0562147537848109
"BTBD19",3.1915694555422,3.51086357646769,-0.319294120925492,0.00042095600056135,0.0569682190842323
"MFSD6L",3.94323480884109,4.32107498555246,-0.377840176711377,0.000434516473454107,0.0576666312020019
"IL18BP",2.82959652534253,3.0758708517022,-0.246274326359661,0.000436251055429952,0.0576666312020019
"TNFSF15",2.33978210151208,2.69882080067023,-0.35903869915815,0.000436681665285389,0.0576666312020019
"AC080038.1",2.12585571378819,2.5913025899722,-0.465446876184005,0.000448727403641784,0.0581411795069249
